gene,transcript,protein
FBgn0052198.1,FBtr0075099.1,FBpp0074866.1
FBgn0036790.1,FBtr0089578.1,FBpp0088997.1
FBgn0266984.1,FBtr0345886.1,
FBgn0036791.1,FBtr0075101.1,FBpp0074868.1
FBgn0003683.1,FBtr0075112.1,FBpp0074878.1
FBgn0266938.1,FBtr0345831.1,
FBgn0266939.1,FBtr0345832.1,
FBgn0036799.1,FBtr0344520.1,FBpp0310871.1
FBgn0036799.1,FBtr0100555.1,FBpp0100006.1
FBgn0036799.1,FBtr0332869.1,FBpp0305091.1
FBgn0036793.1,FBtr0344518.1,FBpp0310869.1
FBgn0036793.1,FBtr0344517.1,FBpp0310868.1
FBgn0036793.1,FBtr0344519.1,FBpp0310870.1
FBgn0265268.1,FBtr0300049.1,FBpp0289326.1
FBgn0036795.1,FBtr0304702.1,FBpp0293245.1
FBgn0036796.1,FBtr0300052.1,FBpp0289329.1
FBgn0052201.1,FBtr0300051.1,FBpp0289328.1
FBgn0052199.1,FBtr0331419.1,FBpp0303836.1
FBgn0013717.1,FBtr0346438.1,FBpp0312097.1
FBgn0013717.1,FBtr0290259.1,FBpp0288698.1
FBgn0052200.1,FBtr0075107.1,
FBgn0259791.1,FBtr0075108.1,FBpp0074874.1
FBgn0036801.1,FBtr0331420.1,FBpp0303837.1
FBgn0036801.1,FBtr0075049.1,FBpp0074816.1
FBgn0036801.1,FBtr0331422.1,FBpp0303839.1
FBgn0036801.1,FBtr0331421.1,FBpp0303838.1
FBgn0260027.1,FBtr0300582.1,FBpp0289809.1
FBgn0042134.1,FBtr0075098.1,FBpp0074865.1
FBgn0042134.1,FBtr0345806.1,FBpp0311792.1
FBgn0040322.1,FBtr0075096.1,FBpp0074863.1
FBgn0040322.1,FBtr0075094.1,FBpp0074861.1
FBgn0040322.1,FBtr0075095.1,FBpp0074862.1
FBgn0040323.1,FBtr0075050.1,FBpp0074817.1
FBgn0085283.1,FBtr0112448.1,FBpp0111363.1
FBgn0036804.1,FBtr0113179.1,FBpp0112092.1
FBgn0052202.1,FBtr0075051.1,FBpp0074818.1
FBgn0036805.1,FBtr0345383.1,FBpp0311533.1
FBgn0036805.1,FBtr0075092.1,FBpp0074859.1
FBgn0036806.1,FBtr0345812.1,FBpp0311798.1
FBgn0036806.1,FBtr0075091.1,FBpp0074858.1
FBgn0264719.1,FBtr0334058.1,
FBgn0036807.1,FBtr0114373.1,FBpp0112922.1
FBgn0036808.1,FBtr0334057.1,FBpp0306183.1
FBgn0036808.1,FBtr0075090.1,FBpp0074857.1
FBgn0036808.1,FBtr0334056.1,FBpp0306182.1
FBgn0265885.1,FBtr0342754.1,
FBgn0265885.1,FBtr0342755.1,
FBgn0265885.1,FBtr0345003.1,
FBgn0036809.1,FBtr0075089.1,FBpp0074856.1
FBgn0264717.1,FBtr0334051.1,
FBgn0036810.1,FBtr0075053.1,FBpp0074820.1
FBgn0036811.1,FBtr0075054.1,FBpp0074821.1
FBgn0036812.1,FBtr0075088.1,FBpp0074855.1
FBgn0036813.1,FBtr0075055.1,FBpp0074822.1
FBgn0001078.1,FBtr0304627.1,FBpp0293169.1
FBgn0001078.1,FBtr0347045.1,FBpp0312453.1
FBgn0001078.1,FBtr0075086.1,FBpp0074853.1
FBgn0001078.1,FBtr0075087.1,FBpp0074854.1
FBgn0267600.1,FBtr0347046.1,
FBgn0267601.1,FBtr0347047.1,
FBgn0036814.1,FBtr0075084.1,FBpp0074851.1
FBgn0036814.1,FBtr0332801.1,FBpp0305024.1
FBgn0036815.1,FBtr0075057.1,FBpp0074824.1
FBgn0036815.1,FBtr0075056.1,FBpp0074823.1
FBgn0000261.1,FBtr0075058.1,FBpp0074825.1
FBgn0036816.1,FBtr0075081.1,FBpp0074848.1
FBgn0036816.1,FBtr0075082.1,FBpp0074849.1
FBgn0036816.1,FBtr0075083.1,FBpp0074850.1
FBgn0036816.1,FBtr0301857.1,FBpp0291071.1
FBgn0052027.1,FBtr0307116.1,
FBgn0266937.1,FBtr0346910.1,
FBgn0266936.1,FBtr0345829.1,
FBgn0267572.1,FBtr0346985.1,
FBgn0267572.1,FBtr0346984.1,
FBgn0267572.1,FBtr0346986.1,
FBgn0262461.1,FBtr0304506.1,
FBgn0262461.1,FBtr0304507.1,
FBgn0036817.1,FBtr0308811.1,FBpp0300968.1
FBgn0036818.1,FBtr0308812.1,FBpp0300969.1
FBgn0036819.1,FBtr0075062.1,FBpp0074829.1
FBgn0036819.1,FBtr0333708.1,FBpp0305857.1
FBgn0036820.1,FBtr0308813.1,FBpp0300970.1
FBgn0036820.1,FBtr0075063.1,FBpp0074830.1
FBgn0025807.1,FBtr0075080.1,FBpp0074847.1
FBgn0025807.1,FBtr0112917.1,FBpp0111830.1
FBgn0085284.1,FBtr0112449.1,FBpp0111364.1
FBgn0014075.1,FBtr0075064.1,FBpp0074831.1
FBgn0036821.1,FBtr0075077.1,FBpp0074844.1
FBgn0036821.1,FBtr0333712.1,FBpp0305861.1
FBgn0036821.1,FBtr0075078.1,FBpp0074845.1
FBgn0036821.1,FBtr0302322.1,FBpp0291528.1
FBgn0036822.1,FBtr0075065.1,FBpp0074832.1
FBgn0036824.1,FBtr0075076.1,FBpp0074843.1
FBgn0086661.1,FBtr0091666.1,
FBgn0036825.1,FBtr0333709.1,FBpp0305858.1
FBgn0036825.1,FBtr0075066.1,FBpp0074833.1
FBgn0036826.1,FBtr0075075.1,FBpp0074842.1
FBgn0036827.1,FBtr0075067.1,FBpp0074834.1
FBgn0027057.1,FBtr0075074.1,FBpp0074841.1
FBgn0036828.1,FBtr0346816.1,FBpp0312391.1
FBgn0036828.1,FBtr0075068.1,FBpp0074835.1
FBgn0036830.1,FBtr0299821.1,FBpp0289099.1
FBgn0036830.1,FBtr0309797.1,FBpp0301550.1
FBgn0036829.1,FBtr0309798.1,FBpp0301551.1
FBgn0036831.1,FBtr0075069.1,FBpp0074836.1
FBgn0036832.1,FBtr0075071.1,FBpp0074838.1
FBgn0036832.1,FBtr0333711.1,FBpp0305860.1
FBgn0036833.1,FBtr0333710.1,FBpp0305859.1
FBgn0036833.1,FBtr0075048.1,FBpp0074815.1
FBgn0052204.1,FBtr0113429.1,FBpp0112341.1
FBgn0262351.1,FBtr0304634.1,FBpp0293176.1
FBgn0262351.1,FBtr0304635.1,FBpp0293177.1
FBgn0036834.1,FBtr0075023.1,FBpp0074790.1
FBgn0267249.1,FBtr0346439.1,
FBgn0036835.1,FBtr0075024.1,FBpp0074791.1
FBgn0036836.1,FBtr0075046.1,FBpp0074813.1
FBgn0085285.1,FBtr0302318.1,FBpp0291524.1
FBgn0036837.1,FBtr0332651.1,FBpp0304897.1
FBgn0036837.1,FBtr0075045.1,FBpp0074812.1
FBgn0036837.1,FBtr0075042.1,FBpp0074809.1
FBgn0036837.1,FBtr0075044.1,FBpp0074811.1
FBgn0036837.1,FBtr0075043.1,FBpp0074810.1
FBgn0036838.1,FBtr0075041.1,FBpp0074808.1
FBgn0036839.1,FBtr0075040.1,FBpp0074807.1
FBgn0002945.1,FBtr0075039.1,FBpp0074806.1
FBgn0002945.1,FBtr0332650.1,FBpp0304896.1
FBgn0002945.1,FBtr0332649.1,FBpp0304895.1
FBgn0267602.1,FBtr0347048.1,
FBgn0015586.1,FBtr0075038.1,FBpp0074805.1
FBgn0015586.1,FBtr0308781.1,FBpp0300938.1
FBgn0265886.1,FBtr0342756.1,
FBgn0263326.1,FBtr0342757.1,FBpp0309615.1
FBgn0263326.1,FBtr0308782.1,FBpp0300939.1
FBgn0036842.1,FBtr0332648.1,FBpp0304894.1
FBgn0036842.1,FBtr0075037.1,FBpp0074804.1
FBgn0036843.1,FBtr0075025.1,FBpp0074792.1
FBgn0036844.1,FBtr0333220.1,FBpp0305422.1
FBgn0036844.1,FBtr0075036.1,FBpp0074803.1
FBgn0036844.1,FBtr0330089.1,FBpp0303122.1
FBgn0036844.1,FBtr0075035.1,FBpp0074802.1
FBgn0266935.1,FBtr0345828.1,
FBgn0036846.1,FBtr0330090.1,FBpp0303123.1
FBgn0036846.1,FBtr0075026.1,FBpp0074793.1
FBgn0036847.1,FBtr0075034.1,FBpp0074801.1
FBgn0036848.1,FBtr0075033.1,FBpp0074800.1
FBgn0036849.1,FBtr0075027.1,FBpp0074794.1
FBgn0036850.1,FBtr0075032.1,FBpp0074799.1
FBgn0036850.1,FBtr0330093.1,FBpp0303126.1
FBgn0036851.1,FBtr0346533.1,FBpp0312151.1
FBgn0036851.1,FBtr0330092.1,FBpp0303125.1
FBgn0036851.1,FBtr0330091.1,FBpp0303124.1
FBgn0052203.1,FBtr0110771.1,FBpp0110068.1
FBgn0016797.1,FBtr0332735.1,FBpp0304981.1
FBgn0016797.1,FBtr0112890.1,FBpp0111803.1
FBgn0016797.1,FBtr0075028.1,FBpp0074795.1
FBgn0016797.1,FBtr0330195.1,FBpp0303228.1
FBgn0016797.1,FBtr0299586.1,FBpp0288861.1
FBgn0016797.1,FBtr0075029.1,FBpp0074796.1
FBgn0016797.1,FBtr0330194.1,FBpp0303227.1
FBgn0267603.1,FBtr0347049.1,
FBgn0264485.1,FBtr0332794.1,
FBgn0053647.1,FBtr0091624.1,FBpp0090989.1
FBgn0264484.1,FBtr0332796.1,
FBgn0264484.1,FBtr0332795.1,
FBgn0036853.1,FBtr0346548.1,FBpp0312166.1
FBgn0036853.1,FBtr0333224.1,FBpp0305426.1
FBgn0036853.1,FBtr0075022.1,FBpp0074789.1
FBgn0040075.1,FBtr0344993.1,FBpp0311247.1
FBgn0040075.1,FBtr0331852.1,FBpp0304236.1
FBgn0040075.1,FBtr0074988.1,FBpp0074756.1
FBgn0026630.1,FBtr0075019.1,FBpp0074786.1
FBgn0026630.1,FBtr0075021.1,FBpp0074788.1
FBgn0026630.1,FBtr0075020.1,FBpp0074787.1
FBgn0266737.1,FBtr0345237.1,
FBgn0260857.1,FBtr0074989.1,FBpp0074757.1
FBgn0260857.1,FBtr0074990.1,FBpp0074758.1
FBgn0017578.1,FBtr0345391.1,FBpp0311541.1
FBgn0017578.1,FBtr0075018.1,FBpp0074785.1
FBgn0017578.1,FBtr0310276.1,FBpp0301959.1
FBgn0036856.1,FBtr0344454.1,FBpp0310826.1
FBgn0036856.1,FBtr0074991.1,FBpp0074759.1
FBgn0259720.1,FBtr0344455.1,FBpp0310827.1
FBgn0259720.1,FBtr0299975.1,FBpp0289252.1
FBgn0266456.1,FBtr0344457.1,FBpp0310829.1
FBgn0266456.1,FBtr0344456.1,FBpp0310828.1
FBgn0036857.1,FBtr0075017.1,FBpp0074784.1
FBgn0036859.1,FBtr0074992.1,FBpp0074760.1
FBgn0036858.1,FBtr0309116.1,FBpp0301124.1
FBgn0036860.1,FBtr0344806.1,FBpp0311131.1
FBgn0036861.1,FBtr0075015.1,FBpp0074782.1
FBgn0036862.1,FBtr0345390.1,FBpp0311540.1
FBgn0036862.1,FBtr0075014.1,FBpp0074781.1
FBgn0036862.1,FBtr0331425.1,FBpp0303842.1
FBgn0036862.1,FBtr0332155.1,FBpp0304465.1
FBgn0028380.1,FBtr0347258.1,FBpp0312519.1
FBgn0028380.1,FBtr0321324.1,FBpp0302865.1
FBgn0028380.1,FBtr0290284.1,FBpp0288723.1
FBgn0267715.1,FBtr0347254.1,
FBgn0003089.1,FBtr0300340.1,FBpp0289569.1
FBgn0003089.1,FBtr0075003.1,FBpp0074770.1
FBgn0003089.1,FBtr0075011.1,FBpp0074778.1
FBgn0003089.1,FBtr0075010.1,FBpp0074777.1
FBgn0003089.1,FBtr0075009.1,FBpp0074776.1
FBgn0003089.1,FBtr0075008.1,FBpp0074775.1
FBgn0003089.1,FBtr0075005.1,FBpp0074772.1
FBgn0003089.1,FBtr0075007.1,FBpp0074774.1
FBgn0003089.1,FBtr0075004.1,FBpp0074771.1
FBgn0003089.1,FBtr0333897.1,FBpp0306029.1
FBgn0003089.1,FBtr0075013.1,FBpp0074780.1
FBgn0003089.1,FBtr0075012.1,FBpp0074779.1
FBgn0052206.1,FBtr0331182.1,FBpp0303609.1
FBgn0052206.1,FBtr0089796.1,FBpp0088737.1
FBgn0036868.1,FBtr0330281.1,FBpp0303313.1
FBgn0264697.1,FBtr0333868.1,
FBgn0052205.1,FBtr0075000.1,
FBgn0052205.1,FBtr0343097.1,
FBgn0052205.1,FBtr0343096.1,
FBgn0053255.1,FBtr0347036.1,
FBgn0262027.1,FBtr0303863.1,
FBgn0267296.1,FBtr0346551.1,
FBgn0053062.1,FBtr0302886.1,FBpp0292017.1
FBgn0053062.1,FBtr0302887.1,FBpp0292018.1
FBgn0023395.1,FBtr0074998.1,FBpp0074766.1
FBgn0266983.1,FBtr0345885.1,
FBgn0036870.1,FBtr0074987.1,FBpp0074755.1
FBgn0036871.1,FBtr0074986.1,FBpp0074754.1
FBgn0052214.1,FBtr0273411.1,FBpp0271919.1
FBgn0052214.1,FBtr0333843.1,FBpp0305977.1
FBgn0052208.1,FBtr0273406.1,FBpp0271914.1
FBgn0036872.1,FBtr0333844.1,FBpp0305978.1
FBgn0036872.1,FBtr0074930.1,FBpp0074699.1
FBgn0267714.1,FBtr0347229.1,
FBgn0036873.1,FBtr0074984.1,FBpp0074752.1
FBgn0052207.1,FBtr0333849.1,
FBgn0052207.1,FBtr0303927.1,
FBgn0052213.1,FBtr0273409.1,FBpp0271917.1
FBgn0262031.1,FBtr0303926.1,
FBgn0036874.1,FBtr0074982.1,FBpp0074750.1
FBgn0062928.1,FBtr0091951.1,
FBgn0062928.1,FBtr0344231.1,
FBgn0062928.1,FBtr0344232.1,
FBgn0052212.1,FBtr0074932.1,FBpp0074701.1
FBgn0036875.1,FBtr0333847.1,FBpp0305981.1
FBgn0036875.1,FBtr0290044.1,FBpp0288483.1
FBgn0036875.1,FBtr0345147.1,FBpp0311368.1
FBgn0036875.1,FBtr0333846.1,FBpp0305980.1
FBgn0036875.1,FBtr0345146.1,FBpp0311367.1
FBgn0036875.1,FBtr0290043.1,FBpp0288482.1
FBgn0036876.1,FBtr0333845.1,FBpp0305979.1
FBgn0036876.1,FBtr0074979.1,FBpp0074747.1
FBgn0036877.1,FBtr0074978.1,FBpp0074746.1
FBgn0267295.1,FBtr0346550.1,
FBgn0036878.1,FBtr0074977.1,FBpp0074745.1
FBgn0036879.1,FBtr0074933.1,FBpp0074702.1
FBgn0036880.1,FBtr0332754.1,FBpp0304993.1
FBgn0036880.1,FBtr0113180.1,FBpp0112093.1
FBgn0036881.1,FBtr0113181.1,FBpp0112094.1
FBgn0036881.1,FBtr0332756.1,FBpp0304995.1
FBgn0036881.1,FBtr0332755.1,FBpp0304994.1
FBgn0036882.1,FBtr0332758.1,FBpp0304997.1
FBgn0036882.1,FBtr0074976.1,FBpp0074744.1
FBgn0264477.1,FBtr0332757.1,FBpp0304996.1
FBgn0262517.1,FBtr0074974.1,FBpp0074742.1
FBgn0260461.1,FBtr0074936.1,FBpp0074705.1
FBgn0260461.1,FBtr0074937.1,FBpp0074706.1
FBgn0036886.1,FBtr0074938.1,FBpp0074707.1
FBgn0265888.1,FBtr0342759.1,
FBgn0265887.1,FBtr0342758.1,
FBgn0267576.1,FBtr0346990.1,
FBgn0262373.1,FBtr0304196.1,
FBgn0262373.1,FBtr0304197.1,
FBgn0005564.1,FBtr0112853.1,FBpp0111766.1
FBgn0005564.1,FBtr0333273.1,FBpp0305471.1
FBgn0005564.1,FBtr0074973.1,FBpp0074741.1
FBgn0036887.1,FBtr0344994.1,FBpp0311248.1
FBgn0036887.1,FBtr0074972.1,FBpp0074740.1
FBgn0036888.1,FBtr0074940.1,FBpp0074708.1
FBgn0036889.1,FBtr0074971.1,FBpp0074739.1
FBgn0005386.1,FBtr0306009.1,FBpp0297151.1
FBgn0005386.1,FBtr0306010.1,FBpp0297152.1
FBgn0010417.1,FBtr0074941.1,FBpp0074709.1
FBgn0010417.1,FBtr0333272.1,FBpp0305470.1
FBgn0036890.1,FBtr0074942.1,FBpp0074710.1
FBgn0036890.1,FBtr0336786.1,FBpp0307762.1
FBgn0036890.1,FBtr0074944.1,FBpp0074712.1
FBgn0020277.1,FBtr0074969.1,FBpp0074737.1
FBgn0020277.1,FBtr0301489.1,FBpp0290704.1
FBgn0036891.1,FBtr0074945.1,FBpp0074713.1
FBgn0036892.1,FBtr0074967.1,FBpp0074735.1
FBgn0036892.1,FBtr0273410.1,FBpp0271918.1
FBgn0036893.1,FBtr0074946.1,FBpp0074714.1
FBgn0260655.1,FBtr0333896.1,FBpp0306028.1
FBgn0260655.1,FBtr0074966.1,FBpp0074734.1
FBgn0029094.1,FBtr0074947.1,FBpp0074715.1
FBgn0029094.1,FBtr0302381.1,FBpp0291576.1
FBgn0036895.1,FBtr0074948.1,FBpp0074716.1
FBgn0036896.1,FBtr0074963.1,FBpp0074731.1
FBgn0036896.1,FBtr0074964.1,FBpp0074732.1
FBgn0036896.1,FBtr0074965.1,FBpp0074733.1
FBgn0036896.1,FBtr0302513.1,FBpp0291675.1
FBgn0036897.1,FBtr0331862.1,FBpp0304246.1
FBgn0036897.1,FBtr0074962.1,FBpp0074730.1
FBgn0036897.1,FBtr0290116.1,FBpp0288555.1
FBgn0036897.1,FBtr0306354.1,FBpp0297447.1
FBgn0022774.1,FBtr0074961.1,FBpp0074729.1
FBgn0036899.1,FBtr0331860.1,FBpp0304244.1
FBgn0036899.1,FBtr0273407.1,FBpp0271915.1
FBgn0036899.1,FBtr0331861.1,FBpp0304245.1
FBgn0036899.1,FBtr0074960.1,FBpp0074728.1
FBgn0265889.1,FBtr0342760.1,
FBgn0036900.1,FBtr0331859.1,FBpp0304243.1
FBgn0036900.1,FBtr0089598.1,FBpp0088555.1
FBgn0036900.1,FBtr0089597.1,FBpp0088554.1
FBgn0004623.1,FBtr0074949.1,FBpp0074717.1
FBgn0261341.1,FBtr0345145.1,FBpp0311366.1
FBgn0261341.1,FBtr0345144.1,FBpp0311365.1
FBgn0261341.1,FBtr0302335.1,FBpp0291540.1
FBgn0260653.1,FBtr0333862.1,FBpp0305995.1
FBgn0260653.1,FBtr0074953.1,FBpp0074721.1
FBgn0262516.1,FBtr0074952.1,FBpp0074720.1
FBgn0261360.1,FBtr0302277.1,FBpp0291483.1
FBgn0261360.1,FBtr0302278.1,FBpp0291484.1
FBgn0261360.1,FBtr0302279.1,FBpp0291485.1
FBgn0260434.1,FBtr0300858.1,FBpp0290081.1
FBgn0261361.1,FBtr0302283.1,FBpp0291489.1
FBgn0266136.1,FBtr0302282.1,FBpp0291488.1
FBgn0266136.1,FBtr0302281.1,FBpp0291487.1
FBgn0266136.1,FBtr0333879.1,FBpp0306011.1
FBgn0266136.1,FBtr0302280.1,FBpp0291486.1
FBgn0036905.1,FBtr0074950.1,FBpp0074718.1
FBgn0261283.1,FBtr0074873.1,FBpp0074642.1
FBgn0261283.1,FBtr0333877.1,FBpp0306009.1
FBgn0261283.1,FBtr0074875.1,FBpp0074644.1
FBgn0261283.1,FBtr0074874.1,FBpp0074643.1
FBgn0262393.1,FBtr0304279.1,
FBgn0262393.1,FBtr0304280.1,
FBgn0036906.1,FBtr0074928.1,FBpp0074697.1
FBgn0260874.1,FBtr0301607.1,FBpp0290822.1
FBgn0260874.1,FBtr0301603.1,FBpp0290818.1
FBgn0260874.1,FBtr0301606.1,FBpp0290821.1
FBgn0260874.1,FBtr0301604.1,FBpp0290819.1
FBgn0036908.1,FBtr0333878.1,FBpp0306010.1
FBgn0036908.1,FBtr0074927.1,FBpp0074696.1
FBgn0036909.1,FBtr0074879.1,FBpp0074648.1
FBgn0036909.1,FBtr0074880.1,FBpp0074649.1
FBgn0036909.1,FBtr0344256.1,FBpp0310655.1
FBgn0083952.1,FBtr0110816.1,FBpp0110113.1
FBgn0040786.1,FBtr0299563.1,FBpp0288838.1
FBgn0024889.1,FBtr0074881.1,FBpp0074650.1
FBgn0036910.1,FBtr0074925.1,FBpp0074694.1
FBgn0023094.1,FBtr0074924.1,FBpp0074693.1
FBgn0036911.1,FBtr0332727.1,FBpp0304973.1
FBgn0036911.1,FBtr0310477.1,FBpp0302625.1
FBgn0036911.1,FBtr0332728.1,FBpp0304974.1
FBgn0036911.1,FBtr0089596.1,FBpp0089005.1
FBgn0036911.1,FBtr0089595.1,FBpp0089004.1
FBgn0013799.1,FBtr0332153.1,FBpp0304463.1
FBgn0013799.1,FBtr0100666.1,FBpp0100128.1
FBgn0013799.1,FBtr0074882.1,FBpp0074651.1
FBgn0013799.1,FBtr0332726.1,FBpp0304972.1
FBgn0013799.1,FBtr0310476.1,FBpp0302624.1
FBgn0003744.1,FBtr0332154.1,FBpp0304464.1
FBgn0003744.1,FBtr0074922.1,FBpp0074691.1
FBgn0052221.1,FBtr0301008.1,FBpp0290230.1
FBgn0001324.1,FBtr0074884.1,FBpp0074653.1
FBgn0001324.1,FBtr0304716.1,FBpp0293259.1
FBgn0020389.1,FBtr0111108.1,FBpp0110399.1
FBgn0020389.1,FBtr0332146.1,FBpp0304456.1
FBgn0020389.1,FBtr0074885.1,FBpp0074654.1
FBgn0020389.1,FBtr0074887.1,FBpp0074656.1
FBgn0020389.1,FBtr0074886.1,FBpp0074655.1
FBgn0020389.1,FBtr0074888.1,FBpp0074657.1
FBgn0020389.1,FBtr0332147.1,FBpp0304457.1
FBgn0020389.1,FBtr0074889.1,FBpp0074658.1
FBgn0266982.1,FBtr0345884.1,
FBgn0262518.1,FBtr0074921.1,FBpp0074690.1
FBgn0262518.1,FBtr0308833.1,FBpp0300990.1
FBgn0262518.1,FBtr0308832.1,FBpp0300989.1
FBgn0036913.1,FBtr0332150.1,FBpp0304460.1
FBgn0036913.1,FBtr0332148.1,FBpp0304458.1
FBgn0036913.1,FBtr0332149.1,FBpp0304459.1
FBgn0036913.1,FBtr0332151.1,FBpp0304461.1
FBgn0262519.1,FBtr0302046.1,FBpp0291256.1
FBgn0262519.1,FBtr0100394.1,FBpp0099808.1
FBgn0262519.1,FBtr0074919.1,FBpp0074688.1
FBgn0262519.1,FBtr0332152.1,FBpp0304462.1
FBgn0014037.1,FBtr0344257.1,FBpp0310656.1
FBgn0014037.1,FBtr0302047.1,FBpp0291257.1
FBgn0014037.1,FBtr0074920.1,FBpp0074689.1
FBgn0052218.1,FBtr0304110.1,
FBgn0264481.1,FBtr0332770.1,
FBgn0036915.1,FBtr0074892.1,FBpp0074661.1
FBgn0036915.1,FBtr0074891.1,FBpp0074660.1
FBgn0036916.1,FBtr0074918.1,FBpp0074687.1
FBgn0028695.1,FBtr0074893.1,FBpp0074662.1
FBgn0020887.1,FBtr0074917.1,FBpp0074686.1
FBgn0020887.1,FBtr0074916.1,FBpp0074685.1
FBgn0036918.1,FBtr0074894.1,FBpp0074663.1
FBgn0036918.1,FBtr0330181.1,FBpp0303214.1
FBgn0036919.1,FBtr0074895.1,FBpp0074664.1
FBgn0036920.1,FBtr0074915.1,FBpp0074684.1
FBgn0036921.1,FBtr0074896.1,FBpp0074665.1
FBgn0036921.1,FBtr0331800.1,FBpp0304185.1
FBgn0267238.1,FBtr0346408.1,
FBgn0004852.1,FBtr0074897.1,FBpp0074666.1
FBgn0004852.1,FBtr0304746.1,FBpp0293288.1
FBgn0052219.1,FBtr0074914.1,FBpp0074683.1
FBgn0085287.1,FBtr0112452.1,FBpp0111367.1
FBgn0053710.1,FBtr0091698.1,FBpp0091016.1
FBgn0261507.1,FBtr0307886.1,FBpp0300320.1
FBgn0261506.1,FBtr0335392.1,FBpp0307375.1
FBgn0261506.1,FBtr0331803.1,FBpp0304188.1
FBgn0259148.1,FBtr0302430.1,FBpp0291622.1
FBgn0036922.1,FBtr0346534.1,FBpp0312152.1
FBgn0036922.1,FBtr0331802.1,FBpp0304187.1
FBgn0036922.1,FBtr0074913.1,FBpp0074682.1
FBgn0036922.1,FBtr0331801.1,FBpp0304186.1
FBgn0036923.1,FBtr0303781.1,FBpp0292793.1
FBgn0036924.1,FBtr0074912.1,FBpp0074681.1
FBgn0036925.1,FBtr0074899.1,FBpp0074668.1
FBgn0052220.1,FBtr0074911.1,FBpp0074680.1
FBgn0005633.1,FBtr0074910.1,FBpp0074679.1
FBgn0005633.1,FBtr0332723.1,FBpp0304969.1
FBgn0266654.1,FBtr0344959.1,
FBgn0266654.1,FBtr0344958.1,
FBgn0013303.1,FBtr0074902.1,FBpp0074671.1
FBgn0036926.1,FBtr0344084.1,FBpp0310511.1
FBgn0036926.1,FBtr0074901.1,FBpp0074670.1
FBgn0036926.1,FBtr0074900.1,FBpp0074669.1
FBgn0036927.1,FBtr0302049.1,FBpp0291259.1
FBgn0036927.1,FBtr0074909.1,FBpp0074678.1
FBgn0036927.1,FBtr0074908.1,FBpp0074677.1
FBgn0036927.1,FBtr0344085.1,FBpp0310512.1
FBgn0036928.1,FBtr0332719.1,FBpp0304965.1
FBgn0036928.1,FBtr0074903.1,FBpp0074672.1
FBgn0036929.1,FBtr0332720.1,FBpp0304966.1
FBgn0036929.1,FBtr0074904.1,FBpp0074673.1
FBgn0261574.1,FBtr0346077.1,FBpp0311915.1
FBgn0261574.1,FBtr0332722.1,FBpp0304968.1
FBgn0261574.1,FBtr0332721.1,FBpp0304967.1
FBgn0036931.1,FBtr0074907.1,FBpp0074676.1
FBgn0036932.1,FBtr0074872.1,FBpp0074641.1
FBgn0036932.1,FBtr0302366.1,FBpp0291561.1
FBgn0036934.1,FBtr0332667.1,FBpp0304913.1
FBgn0036934.1,FBtr0074871.1,FBpp0074640.1
FBgn0036935.1,FBtr0074870.1,FBpp0074639.1
FBgn0265890.1,FBtr0342761.1,
FBgn0036936.1,FBtr0074818.1,FBpp0074587.1
FBgn0036937.1,FBtr0074869.1,FBpp0074638.1
FBgn0036938.1,FBtr0074868.1,FBpp0074637.1
FBgn0036938.1,FBtr0332701.1,FBpp0304947.1
FBgn0036939.1,FBtr0332700.1,FBpp0304946.1
FBgn0036939.1,FBtr0074867.1,FBpp0074636.1
FBgn0005198.1,FBtr0332690.1,FBpp0304936.1
FBgn0005198.1,FBtr0074819.1,FBpp0074588.1
FBgn0036940.1,FBtr0074866.1,FBpp0074635.1
FBgn0036941.1,FBtr0074865.1,FBpp0074634.1
FBgn0036942.1,FBtr0074864.1,FBpp0074633.1
FBgn0261556.1,FBtr0302716.1,FBpp0291856.1
FBgn0261556.1,FBtr0302714.1,FBpp0291854.1
FBgn0261556.1,FBtr0332698.1,FBpp0304944.1
FBgn0261556.1,FBtr0302715.1,FBpp0291855.1
FBgn0261556.1,FBtr0332699.1,FBpp0304945.1
FBgn0261556.1,FBtr0302713.1,FBpp0291853.1
FBgn0261556.1,FBtr0302712.1,FBpp0291852.1
FBgn0267604.1,FBtr0347050.1,
FBgn0036945.1,FBtr0074820.1,FBpp0074589.1
FBgn0036945.1,FBtr0074821.1,FBpp0074590.1
FBgn0262022.1,FBtr0303852.1,FBpp0292860.1
FBgn0036947.1,FBtr0074860.1,FBpp0074629.1
FBgn0036948.1,FBtr0074859.1,FBpp0074628.1
FBgn0036949.1,FBtr0332696.1,FBpp0304942.1
FBgn0036949.1,FBtr0074858.1,FBpp0074627.1
FBgn0036950.1,FBtr0302721.1,FBpp0291861.1
FBgn0036950.1,FBtr0332691.1,FBpp0304937.1
FBgn0052224.1,FBtr0347178.1,
FBgn0036951.1,FBtr0332695.1,FBpp0304941.1
FBgn0036951.1,FBtr0074856.1,FBpp0074625.1
FBgn0036952.1,FBtr0074853.1,FBpp0074622.1
FBgn0036952.1,FBtr0310468.1,FBpp0302616.1
FBgn0036952.1,FBtr0074854.1,FBpp0074623.1
FBgn0036952.1,FBtr0074855.1,FBpp0074624.1
FBgn0036952.1,FBtr0332694.1,FBpp0304940.1
FBgn0036953.1,FBtr0074823.1,FBpp0074592.1
FBgn0036953.1,FBtr0332692.1,FBpp0304938.1
